пореден номер,заглавие,автор,година,том/част,инвентарен номер
1,Кули,"Ананд,М.",1951,,2
2,Пролет на Одер,"Казакевич,Ем.",1950,,3
3,,"Смирнов,",1946,,5
4,,"Белев,",1949,,13
5,"Аз, ти, той",Елин-Пелин,1949,,14
6,.,,1949,,15
7,.,,1949,,16
8,Повест за истинския човек,"Полевой,Б.",1948,,20
9,Съчинения т.1.,"Друмев,В.",1950,т.1.,21
10,Стомана и сгурия,"Попов,",1950,,24
11,Бай Ганьо,"Константинов,Ал.",1946,,37
12,Лято,"Горки,М.",1949,,46
13,.,,1949,,47
14,Под игото,"Вазов,Ив.",1950,,50
15,.,,1950,,51
16,Повест за моето детство,Гладков,1950,,52
17,Зъб за зъб,"Василев,О.",1950,,57
18,Сърце,"Барух,А.",1945,,65
19,Китове в залива,Холопов,1949,,66
20,игото,"Вазов,Ив.Под",1949,,68
21,на полка,"Катаев,В.Синът",1949,,69
22,Избрани творби,Пришвин,1946,,70
23,Септеммври 1923,"Александров,В.",1950,,72
24,"Тревога, танкове","Чолпанов,Б.",1945,,79
25,Последният удигеец,"Фадеев,А.",1951,,80
26,Сред хората,"Горки,М.",1950,,82
27,.,,1950,,83
28,Млада гвардия,Фадеев,1948,,84
29,-Вл.Полянов Най-,Шекспир,1946,,93
30,Войвода,"Каравелов,Л.",1945,,94
31,Пушкин,"Мясникоив,А.",1948,,97
32,.,,1948,,98
33,Звезда,"Казакевич,Ем.",1948,,99
34,Повест за моето,"Гладков,Ф.",1950,,104
35,Устремената топола,Гуревич,1952,,106
36,Светлива в,"Леберхт,Х.",1950,,107
37,Втора рота,"Веживов,П.",1951,,109
38,Светлнад земята,"Бабаевски,С.",1951,,110
39,Избр. Съчинения т.1,"Смирненски,Хр.",1951,т.1,116
40,.,,1951,,117
41,Втора рота,"Вежинов,П.",1951,,118
42,Едноактни пиеси,"Барух,А.",1952,,130
43,Нови разкази,Даскалов,1947,,133
44,Срещи в тайгата,"Арсениев,В.",1950,,138
45,Земляци,"Йовков,Йордан",1946,,142
46,Летен ден,Елин-Пелин,1949,,145
47,Народен закрилник,"Каралийчев,Анг.",1950,,146
48,В наши дни,"Трудолябов,Д.",1946,,148
49,Животът на  максим Горки,Роскин,1946,,150
50,Събрани произведения,"Ясенов,Хр.",1947,,154
51,Проходът на младежта,"Караславов,Г.",,,155
52,Другари,Турек,,,158
53,хиляди очи  към времето,"Илин,М.С",,,159
54,Човекът срещу стихиите,Илин,,,160
55,Тайната на въздуха,"Лейбсън,Л.",1948,,163
56,Васил Левски,"Унджиев,И. И др.",1948,,172
57,Васил Левски,"Унджиев,И. И др.",1948,,173
58,Хумор и сатира,"Смирненски,Хр.",1945,,182
59,Танкер Дербент,Крилов,1945,,185
60,Ст.Попов,"Головин,Г.Александър",1946,,186
61,Максим Горки,Груздеев,,,191
62,Максим Горки,Груздеев,,,192
63,Записки по бълг. въстания,"Стоянов,З.",1949,,194
64,С. Пушкин,"Новиков,Александър",,,208
65,птица  пролетна,"Мстиславски,Грач",,,210
66,Борба за мир лит. сб.,,1949,,211
67,Антология 9 септемврий,Иван Мешеков,1945,,214
68,Лъжовен свят,"Каралийчев,А.",,,226
69,Майка,"Горки,М.",,,227
70,Вечери в Антимовски хан,Йовков,,,228
71,Под знамето на мира,"Струмски,Г.",1985,,230
72,На залесителния пояс,Ксения Лвова,1951,,235
73,Магдина чука,"Даскалов,С.Ц.",,,237
74,Идващи светлини,"Сребров,З.",,,238
75,Разкази за България,Гаршин,,,239
76,Разкази за България,Гаршин,,,241
77,Бунтовен народ,Станев,,,242
78,В.Левски,Кондерев,,,243
79,Димитрий Донски,,,,244
80,Иван Вазов Детство,"Генов,М.",,,255
81,Те загинаха за да живеем ние,"Стойков,А.",1948,,256
82,Стихотворения,"Ботев,Хр.",,,264
83,Стихотворения,"Ботев,Хр.",,,267
84,Израсло дърво  високо,Бончов,,,268
85,Димитровград Стихове и очерци,,,,271
86,Младост,"Исаев,М.",,,272
87,Епопея на забравените,Вазов,,,275
88,Хумор и сатира,"Смирненски,Хр.",,,276
89,На пост,,,,278
90,Кавалерът на златната звезда,Бабаевски,,,284
91,Светлина в коорди,"Леберихт,Х.",,,287
92,Стопани,"Северняк,С.",,,288
93,До Чикаго и назад,"Константинов,Ал.",,,289
94,До Чикаго и назад,"Константинов,Ал.",,,291
95,До Чикаго и назад,"Константинов,Ал.",,,292
96,Неописан  подвиг,"Маринов,И.",,,293
97,Към далечни брегове,муратов,,,298
98,Царска милост,"Зидаров,К.",,,312
99,Избр. Произведения,"Смирненски,Хр.",,,313
100,Избр. Съчинения,"Смирненски,Хр.",,,314
101,Израсло дърво  високо,Бончов,,,316
102,Как се каляваше стоманата,"Островски,Н.",,,321
103,Покорената река,Юрезански,,,323
104,Кружелиха,Панова,,,328
105,Вятър от юг,"Грин,Е.",,,341
106,Цимент,"Гладков,Ф.",,,347
107,Детство,Горки,,,348
108,Съдбоносна есен,"Барух,А.",,,354
109,Ленинград през,"Фадеев,А.",,,357
110,Родина,"Василевска,В.",,,358
111,Последният удигеец,"Фадеев,А.",,,361
112,мирът,"Белев,К.",,,366
113,Разораната целина,"Шолохов,М.",,,367
114,Моите университети,"Горки,М.",,,368
115,Стожари,Катери,,,369
116,Моят живот,Хрежон,,,372
117,Огньове в залива,"Холопов,Г.",,,373
118,Огньове в залива,"Холопов,Г.",,,374
119,Огньове в залива,"Холопов,Г.",,,375
120,Мили родни картинки,Елин-Пелин,,,385
121,Приключенията на Оливер,"Дикенс,Ч.",,,393
122,Цимент,Гладков,,,395
123,Цимент,Гладков,,,396
124,Волоколамското шосе,"Бек,Ал.",,,397
125,Снежният връх,"Копшелов,А.",,,398
126,Двамата капитани,"Каверин,В.",,,399
127,Интербригадисти,"Маринов,Н.",,,400
128,В планините на шкипетарите,"Иллейш,Б.",,,401
129,Малкият Пиер,"Франс,А.",,,402
130,Завръщане на синовете,"Волф,Ф.",,,407
131,Ние съветските хора,"Полевой,Б.",,,409
132,Борци за свободата,"Майн,Рид",,,410
133,Как се каляваше стоманата,"Островски,Н.",,,413
134,Време напред ,"Катаев,В.",,,430
135,Гости,"Овечкин,В.",,,431
136,Под Игото т.3,"Вазов,Ив.",,т.3,432
137,Детство,"Горки,М.",,,435
138,Борба за мир,"Панферов,Ф.",,,439
139,Борба за мир,"Панферов,Ф.",,,440
140,в кримска нелегалност,Козлов,,,441
141,пленникът ,"Мартинов,Иван",,,443
142,Господарят на мълниите,"Беляев,С.",,,446
143,Записки на ловеца,"Тургенев,И.",,,449
144,От все сърце,"Малцев,Е.",,,452
145,От все сърце,"Малцев,Е.",,,454
146,Ние съветските хора,"Полевой,Б.",,,455
147,Чайка,"Бирюков,Н.",,,456
148,В кримска нелегалност,"Козлов,И.",,,457
149,Сред хората,"Горки,М.",,,458
150,Време напред,"Катаев,В.",,,460
151,Тридесет и един ден,"Алексин,А.",,,462
152,Чест от младини,"Первенцев,А.",,,469
153,Чест от младини,"Первенцев,А.",,,470
154,Карпатска рапсодия,"Илейш,Б.",,,471
155,Борба за свобода,"Ефремов,И.",,,472
156,Септемврийци,"Коралов,Е.",,,476
157,Цимент,"Гладков,Ф.",,,478
158,Тарасбулба,"Гогол,Н.В.",,,479
159,Капитанската дъщеря,"Пушкин,А.С.",,,487
160,Песен над водите           ,"Василевска,В.",,,489
161,Към далечни брегове ,"Моратов,",,,490
162,Тарасбулба,"Гогол,Н.",,,492
163,село,"Шошин,М.",,,496
164,Кой в Русия?,"Некрасов,Н.",,,498
165,Какво видях в Америка?,"Белев,Г.",,,499
166,Слънце над река Санган,"Лин,Д.",,,504
167,Четвърта височина ,"Илина,Е.",,,506
168,Затъмнение в ,Пришли,,,512
169,В края на лятото,"Калчев,К.",,,513
170,"Лирика, т.1","Вазов,Ив.",,т.1,516
171,Тимур и неговата команда,"Гайдар,А.",,,520
172,Бай Ганьо,"Константинов,А.",,,528
173,Васил Левски,"Умджиев,И.",,,534
174,Васил Левски,"Умджиев,И.",,,535
175,Васил Левски,"Умджиев,И.",,,536
176,Слънчеви и  лунни затъмнения,"Михайлов,А.",,,542
177,Слънчеви и  лунни затъмнения,"Михайлов,А.",,,543
178,Земята в мировото пространство,"Лукев,Б.В.",,,547
179,На какво се крепи земята,"Огородников,К.Ф.",,,565
180,Родното в  служба на човека,"Малов,Н.",,,575
181,Произход на човека,"Гремяцки,М.А.",,,576
182,Чарлз Дарвин и неговото учение,"Турбин,Н.В.",,,677
183,Необикновени небесни явления,"Сергеев,Ив.",,,580
184,Без фросий и тип,"Горов,К.",,,588
185,Чудесата на света,"Мелнишки,Л.",,,590
186,Бразилска трагедия,"Гаум,В.",,,592
187,Планинските първенци,"Демирадев,И.",,,608
188,"Злобин,ет.","Разин,Стеиан",,,610
189,Чудесата на химията,"Донев,Д.",,,616
190,Господа Головльови,"Щедрин,С.",,,623
191,Далеч от дома,"Ажаев,",,,625
192,Ураган,Чжоу-Ли-бо-Д,,,626
193,Избрани статии и писма,"Гогол,Н.В.",,,627
194, В света на радиовълните,Чеснов,,,629
195,Мъртви  души т.5,Гогол.Н.В.,,т.5,631
196,Проблеми на развитието на ,"Зарев,П.",,,633
197,Избрани произведения,"Милев,Г.",,,637
198,Стихотвореия,"Смирненски,Хр.",,,656
199,Стихотвореия,"Смирненски,Хр.",,,657
200,Немили-недраги,"Вазов,Ив.",,,658
201,В  сянката на химията,,,,659
202,Стихотворения и поеми,"Лермонтов,М.Юр.",,,660
203,Песен на свободата,"Белев,Кр.",,,662
204,Евгений Онегин,"Пушкин,Ал.",,,664
205,Българи от старо време,"Каравелов,Л.",,,667
206,Български писатели,"Величков,К.",,,670
207,До Чикаго и назад,"Константинов,Ал.",,,672
208,"Статии, фейлетони и стиотворения","Ботев,Хр.",,,674
209,Христо Ботев,М.Димитров.,,,675
210,Петър първи,"Толстой,Ал.",,,679
211,Моите университети,"Горки,М.",,,681
212,На прав път,"Караславов,Г.",,,682
213,Събр. Съчинения т.2,"Горки,М.",,т.2,687
214,Дядо  Горио,О.Балзак,,,694
215,Петър първи т.2,"Толстой,Ал.",,т.2,696
216,Петър първи т.1,"Толстой,Ал.",,т.1,702
217,Петър първи т.1,"Толстой,Ал.",,т.1,703
218,Ръководство по  физкултурната  работа,,,,704
219,Разкази т.3,"Церковски,Ц.",,т.3,708
220,Разкази т.2,"Церковски,Ц.",,т.2,709
221,Кристиян Ванщафе т.1,Я.Васерман.,,т.1,710
222,Кристиян Ванщафе т.1,Я.Васерман.,,т.1,711
223,Червеният печат,К.И.Бенеш,,,721
224,Хляб,А.Толстой,,,722
225,Сръбски поети Антология,Сръбски поети Антология,,,723
226,Рафаело,Беране.,,,725
227,Пушкин  в Михайловское,Новиков.,,,726
228,Кому на Росии жить хорошо?,Н.А.Некрасов,,,736
229,Събрани съчинения т.2,Яварав,,т.2,737
230,Нови хора,"Белев,Г.",,,739
231,Партизански песни,"Андреев,В.",,,740
232,Полное собрание соч.,"Тургенева,",,,743
233,Осемнадесета година,А.Толстой,,,744
